Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134251-129210,WR,Jordan,Jordan Addison,Addison,0,1,5800,MIN@CHI,MIN,CHI,,,,,,WR/FLEX
134251-55635,WR,Chris,Chris Godwin Jr.,Godwin Jr.,6.300000190734863,1,5800,CLE@TB,TB,CLE,,,,,,WR/FLEX
134251-166588,TE,Colston,Colston Loveland,Loveland,0,1,5800,MIN@CHI,CHI,MIN,,,,,,TE/FLEX
134251-120639,WR,Quentin,Quentin Johnston,Johnston,2.700000047683716,1,5800,LV@LAC,LAC,LV,,,,,,WR/FLEX
134251-110484,RB,RJ,RJ Harvey,Harvey,6.099999904632568,1,5800,JAC@DEN,DEN,JAC,,,,,,RB/FLEX
134251-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,3.799999952316284,1,5700,SEA@ARI,ARI,SEA,,,,,,WR/FLEX
134251-83074,TE,Dallas,Dallas Goedert,Goedert,21.700000762939453,1,5700,PHI@TEN,PHI,TEN,,,,,,TE/FLEX
134251-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,5.5,1,5700,JAC@DEN,JAC,DEN,Q,Shoulder,,,,WR/FLEX
134251-63759,RB,Tony,Tony Pollard,Pollard,3.9000000953674316,1,5700,PHI@TEN,TEN,PHI,,,,,,RB/FLEX
134251-90428,RB,Tyler,Tyler Allgeier,Allgeier,8,1,5700,SEA@ARI,ARI,SEA,,,,,,RB/FLEX
134251-25267,WR,Mack,Mack Hollins,Hollins,7.099999904632568,1,5700,PIT@NE,NE,PIT,,,,,,WR/FLEX
134251-188171,RB,Jeremiyah,Jeremiyah Love,Love,12,1,5700,SEA@ARI,ARI,SEA,,,,,,RB/FLEX
134251-61593,WR,Jauan,Jauan Jennings,Jennings,0,1,5600,MIN@CHI,MIN,CHI,,,,,,WR/FLEX
134251-64808,TE,Juwan,Juwan Johnson,Johnson,12.899999618530273,1,5600,NO@BAL,NO,BAL,,,,,,TE/FLEX
134251-89455,WR,Jayden,Jayden Reed,Reed,3.5,1,5600,GB@NYJ,GB,NYJ,,,,,,WR/FLEX
134251-110974,WR,Malik,Malik Washington,Washington,4.800000190734863,1,5600,MIA@SF,MIA,SF,,,,,,WR/FLEX
134251-138774,RB,Woody,Woody Marks,Marks,4.5,1,5600,CIN@HOU,HOU,CIN,,,,,,RB/FLEX
134251-72297,RB,Rico,Rico Dowdle,Dowdle,3.0999999046325684,1,5600,PIT@NE,PIT,NE,,,,,,RB/FLEX
134251-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,14.300000190734863,1,5600,PHI@TEN,PHI,TEN,,,,,,WR/FLEX
134251-103511,WR,Devaughn,Devaughn Vele,Vele,16.399999618530273,1,5500,NO@BAL,NO,BAL,,,,,,WR/FLEX
134251-63634,WR,Jakobi,Jakobi Meyers,Meyers,11.199999809265137,1,5500,JAC@DEN,JAC,DEN,,,,,,WR/FLEX
134251-170287,WR,Rashid,Rashid Shaheed,Shaheed,0.8999999761581421,1,5500,SEA@ARI,SEA,ARI,,,,,,WR/FLEX
134251-183756,WR,Carnell,Carnell Tate,Tate,5.800000190734863,1,5500,PHI@TEN,TEN,PHI,,,,,,WR/FLEX
134251-114231,RB,George,George Holani,Holani,2.9000000953674316,1,5500,SEA@ARI,SEA,ARI,,,,,,RB/FLEX
134251-172699,TE,Harold,Harold Fannin Jr.,Fannin Jr.,3.0999999046325684,1,5500,CLE@TB,CLE,TB,,,,,,TE/FLEX
134251-86875,RB,Jordan,Jordan Mason,Mason,11.899999618530273,1,5500,MIN@CHI,MIN,CHI,Q,Thumb,,,,RB/FLEX
134251-87127,RB,Chris,Chris Rodriguez Jr.,Rodriguez Jr.,2.299999952316284,1,5400,JAC@DEN,JAC,DEN,,,,,,RB/FLEX
134251-79970,WR,Cooper,Cooper Kupp,Kupp,4.5,1,5400,SEA@ARI,SEA,ARI,,,,,,WR/FLEX
134251-151789,WR,Adonai,Adonai Mitchell,Mitchell,7.5,1,5400,GB@NYJ,NYJ,GB,,,,,,WR/FLEX
134251-38264,WR,Demarcus,Demarcus Robinson,Robinson,12,1,5400,MIA@SF,SF,MIA,,,,,,WR/FLEX
134251-166323,WR,Antonio,Antonio Williams,Williams,14.399999618530273,1,5400,WAS@DAL,WAS,DAL,,,,,,WR/FLEX
134251-89680,TE,Jake,Jake Ferguson,Ferguson,1.600000023841858,1,5400,WAS@DAL,DAL,WAS,,,,,,TE/FLEX
134251-137902,RB,Rachaad,Rachaad White,White,3.700000047683716,1,5400,WAS@DAL,WAS,DAL,,,,,,RB/FLEX
134251-119788,WR,Xavier,Xavier Hutchinson,Hutchinson,4.699999809265137,1,5400,CIN@HOU,HOU,CIN,,,,,,WR/FLEX
134251-183380,WR,Makai,Makai Lemon,Lemon,1,1,5300,PHI@TEN,PHI,TEN,,,,,,WR/FLEX
134251-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,6.300000190734863,1,5300,PHI@TEN,TEN,PHI,,,,,,WR/FLEX
134251-103619,WR,Tre,Tre Tucker,Tucker,3.700000047683716,1,5300,LV@LAC,LV,LAC,,,,,,WR/FLEX
134251-158968,RB,Jonathon,Jonathon Brooks,Brooks,6.699999809265137,1,5300,CAR@ATL,CAR,ATL,,,,,,RB/FLEX
134251-183649,WR,KC,KC Concepcion,Concepcion,5.800000190734863,1,5300,CLE@TB,CLE,TB,,,,,,WR/FLEX
134251-90561,WR,Jerry,Jerry Jeudy,Jeudy,3.5999999046325684,1,5300,CLE@TB,CLE,TB,,,,,,WR/FLEX
